Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,Time_sec,location_short,time,SEL_dB,tags,type,operator
Mon 03:07:06 PM,37.8393,23.8874,↙ 207°,234.0,269.0,"3,350","2,305",FlightAware ADS-B (ATH / LGAV),Arrivals,TRA6866,2025-03-24 23:13:46,54426,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:07:08 PM,52.1277,4.7214,↑ 3°,161.0,185.0,"3,500",-850,FlightAware ADS-B (AMS / EHAM),Arrivals,BAW442,2025-03-24 20:17:24,54428,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:07:13 PM,52.2507,4.8482,↓ 176°,304.0,350.0,"10,400","1,800",FlightAware ADS-B (EHDR),Departures,IBS1794,2025-03-24 20:17:24,54433,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:07:21 PM,47.9706,6.1063,↑ 355°,414.0,476.0,"37,475",750,FlightAware ADS-B (LSZF),Arrivals,KLM1938,2025-03-24 21:16:30,54441,Co,2025-03-24 09:39:53,80.09091481043761,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:07:31 PM,37.8149,23.8714,↙ 209°,240.0,276.0,"4,275","2,163",FlightAware ADS-B (ATH / LGAV),Arrivals,TRA6866,2025-03-24 23:13:46,54451,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:07:34 AM,41.8998,108.6919,← 260°,411.0,473.0,"33,975",286,FlightAware ADS-B (ZMKB),Arrivals,KLM896,2025-03-24 20:37:17,11254,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:07:34 PM,52.1461,7.0481,↖ 328°,420.0,483.0,"26,250","-1,580",FlightAware ADS-B (EDLS),Arrivals,KLM1824,2025-03-24 20:37:17,54454,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:07:38 PM,52.1501,4.7234,↑ 4°,161.0,185.0,"3,000",-900,FlightAware ADS-B (AMS / EHAM),Arrivals,BAW442,2025-03-24 20:17:24,54458,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:07:45 PM,52.2054,4.8482,↓ 181°,339.0,390.0,"11,100","1,205",FlightAware ADS-B (RTM / EHRD),Departures,IBS1794,2025-03-24 20:17:24,54465,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:07:49 PM,37.8022,23.8522,↙ 245°,250.0,288.0,"4,900","1,986",FlightAware ADS-B (ATH / LGAV),Arrivals,TRA6866,2025-03-24 23:13:46,54469,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
